"","Subject","Trial","Condition","SS1vSS2top","SS1amount","SS1delay","LL1amount","LL1delay","SS2amount","SS2delay","LL2amount","LL2delay","TrialStart","RT","TrialOver","Choice","Run","Day"
"1",101,1,3,0,13.39,0,1.53,21,1.34,0,15.32,21,2.1283,1.7231,2.309,0,1,"Fast"
"2",101,2,44,0,9.81,21,1.53,84,0.98,21,15.32,84,4.4728,2.0738,2.5963,0,1,"Fast"
"3",101,3,41,1,14.82,21,1.53,84,1.48,21,15.32,84,7.0997,2.1828,2.6969,0,1,"Fast"
"4",101,4,34,0,12.36,21,1.53,42,1.24,21,15.32,42,9.8269,1.4558,1.9804,0,1,"Fast"
"5",101,5,12,0,13.26,0,1.53,63,1.33,0,15.32,63,11.8388,2.0758,2.5966,0,1,"Fast"
"6",101,6,43,1,11.59,21,1.53,84,1.16,21,15.32,84,14.4659,2.6564,3.1787,0,1,"Fast"
"7",101,7,34,1,12.36,21,1.53,42,7.59,21,7.44,42,17.6916,3.8085,4.3258,0,1,"Fast"
"8",101,8,26,1,14.82,7,1.53,70,1.48,7,15.32,70,22.0481,2.3488,2.8628,1,1,"Fast"
"9",101,9,43,1,11.59,21,1.53,84,7.12,21,7.44,84,24.9413,1.7441,2.2641,0,1,"Fast"
"10",101,10,44,0,9.81,21,1.53,84,6.03,21,7.44,84,27.2359,1.1527,1.6655,0,1,"Fast"
"11",101,11,23,0,14.38,7,1.53,49,1.44,7,15.32,49,28.9319,1.0967,1.6153,0,1,"Fast"
"12",101,12,35,1,15.32,21,1.75,42,1.53,21,17.52,42,30.578,1.1949,1.7146,0,1,"Fast"
"13",101,13,11,0,14.82,0,1.53,63,1.48,0,15.32,63,32.3239,1.3855,1.8983,0,1,"Fast"
"14",101,14,28,1,11.59,7,1.53,70,1.16,7,15.32,70,34.2526,1.0559,1.5826,0,1,"Fast"
"15",101,15,7,0,14.38,0,1.53,42,1.44,0,15.32,42,35.8655,1.379,1.8982,0,1,"Fast"
"16",101,16,22,0,14.84,7,1.53,49,1.48,7,15.32,49,37.7943,1.1548,1.6655,0,1,"Fast"
"17",101,17,35,1,15.32,21,1.75,42,9.41,21,8.51,42,39.4903,1.0191,1.5316,0,1,"Fast"
"18",101,18,8,1,13.39,0,1.53,42,1.34,0,15.32,42,41.0533,1.0473,1.5653,0,1,"Fast"
"19",101,19,7,1,14.38,0,1.53,42,8.83,0,7.44,42,42.6661,1.1068,1.6325,0,1,"Fast"
"20",101,20,32,0,14.38,21,1.53,42,1.44,21,15.32,42,44.3289,1.8759,2.3961,0,1,"Fast"
"21",101,21,16,0,14.84,7,1.53,28,1.48,7,15.32,28,46.7565,2.1198,2.6462,0,1,"Fast"
"22",101,22,18,0,13.39,7,1.53,28,1.34,7,15.32,28,49.4335,1.5715,2.0813,0,1,"Fast"
"23",101,23,39,1,12.36,21,1.53,63,1.24,21,15.32,63,51.5452,1.5001,2.0148,0,1,"Fast"
"24",101,24,21,0,15.32,7,1.53,49,1.53,7,15.32,49,53.5903,1.2951,1.8152,0,1,"Fast"
"25",101,25,36,1,14.84,21,1.53,63,1.48,21,15.32,63,55.4361,1.0017,1.5153,0,1,"Fast"
"26",101,26,3,1,13.39,0,1.53,21,8.23,0,7.44,21,56.9824,1.1821,1.6988,0,1,"Fast"
"27",101,27,11,1,14.82,0,1.53,63,9.1,0,7.44,63,58.7117,1.0015,1.5158,0,1,"Fast"
"28",101,28,24,0,13.39,7,1.53,49,1.34,7,15.32,49,60.258,2.2423,2.7628,0,1,"Fast"
"29",101,29,33,1,13.39,21,1.53,42,1.34,21,15.32,42,63.0514,1.0811,1.5989,0,1,"Fast"
"30",101,30,39,0,12.36,21,1.53,63,7.59,21,7.44,63,64.6809,1.2836,1.7984,0,1,"Fast"
"31",101,31,10,1,15.32,0,1.75,42,1.53,0,17.52,42,66.5099,1.0017,1.516,0,1,"Fast"
"32",101,32,8,1,13.39,0,1.53,42,8.23,0,7.44,42,68.0563,1.2289,1.7483,0,1,"Fast"
"33",101,33,8,1,13.39,0,1.53,42,11.67,0,3.5,42,69.852,1.345,1.865,1,1,"Fast"
"34",101,34,1,0,14.84,0,1.53,21,1.48,0,15.32,21,71.7476,1.0017,1.5149,0,1,"Fast"
"35",101,35,11,1,14.82,0,1.53,63,12.91,0,3.5,63,73.2939,1.0017,1.5152,1,1,"Fast"
"36",101,36,6,1,14.84,0,1.53,42,1.48,0,15.32,42,74.8403,1.0017,1.516,0,1,"Fast"
"37",101,37,43,0,11.59,21,1.53,84,10.1,21,3.5,84,76.4033,1.6734,2.1975,0,1,"Fast"
"38",101,38,17,1,14.38,7,1.53,28,1.44,7,15.32,28,78.6314,1.1494,1.6652,0,1,"Fast"
"39",101,39,15,1,15.17,0,1.75,63,1.52,0,17.52,63,80.3274,1.0017,1.5158,0,1,"Fast"
"40",101,40,13,1,11.59,0,1.53,63,1.16,0,15.32,63,81.8737,1.2271,1.7483,0,1,"Fast"
"41",101,41,4,1,12.36,0,1.53,21,1.24,0,15.32,21,83.6528,1.0016,1.5159,0,1,"Fast"
"42",101,42,20,0,15.32,7,1.75,28,1.53,7,17.52,28,85.1992,1.5335,2.047,0,1,"Fast"
"43",101,43,5,0,15.32,0,1.75,21,1.53,0,17.52,21,87.2777,2.0876,2.6125,0,1,"Fast"
"44",101,44,18,0,13.39,7,1.53,28,8.23,7,7.44,28,89.9214,1.9152,2.43,0,1,"Fast"
"45",101,45,41,0,14.82,21,1.53,84,9.1,21,7.44,84,92.3823,1.0707,1.5819,0,1,"Fast"
"46",101,46,35,0,15.32,21,1.75,42,13.35,21,4,42,93.9952,1.4662,1.9815,0,1,"Fast"
"47",101,47,28,0,11.59,7,1.53,70,7.12,7,7.44,70,96.0071,1.0016,1.5155,0,1,"Fast"
"48",101,48,40,1,15.32,21,1.75,63,1.53,21,17.52,63,97.5534,1.0016,1.5157,0,1,"Fast"
